#MECHANICAL|id,status,weight,registrationDate,lastMaintenanceDate,gearCount,gearType,hasBasket
#ELECTRICAL|id,status,weight,registrationDate,lastMaintenanceDate,batteryCapacity,batteryVoltage,batteryCurrent,motorPower,motorMaxSpeed,motorHasRegenerativeBraking
ELECTRICAL|Bike-001,AVAILABLE,28.4,2020-01-13,2020-12-01,540,52,9.7,500,34.1,false
MECHANICAL|Bike-002,AVAILABLE,19.3,2024-06-10,2025-02-02,1,FIXED_GEAR,false
MECHANICAL|Bike-003,AVAILABLE,13.7,2025-04-25,2025-06-12,3,HUB,true
MECHANICAL|Bike-004,AVAILABLE,12.2,2024-03-14,2024-12-29,1,SINGLE_SPEED,true
MECHANICAL|Bike-005,AVAILABLE,17.7,2025-06-30,2025-07-20,1,FIXED_GEAR,false
ELECTRICAL|Bike-006,MAINTENANCE,22.4,2022-09-28,2023-08-21,720,48,13.8,600,28.2,false
ELECTRICAL|Bike-007,AVAILABLE,27.0,2019-04-24,2020-06-21,720,36,19.8,750,28.6,false
MECHANICAL|Bike-008,LOST,15.1,2022-03-12,2023-12-21,18,HUB,true
ELECTRICAL|Bike-009,AVAILABLE,22.1,2020-11-10,2021-11-30,418,36,5.4,350,31.1,true
ELECTRICAL|Bike-010,AVAILABLE,26.2,2023-04-18,2024-12-26,418,36,14.5,600,29.8,false
MECHANICAL|Bike-011,AVAILABLE,13.1,2020-10-31,2024-11-06,1,SINGLE_SPEED,false
ELECTRICAL|Bike-012,AVAILABLE,20.9,2020-04-23,2023-10-12,650,48,16.8,500,27.0,true
ELECTRICAL|Bike-013,AVAILABLE,20.1,2022-11-26,2024-11-17,650,48,18.5,250,33.4,true
ELECTRICAL|Bike-014,AVAILABLE,20.5,2020-05-29,2020-06-21,560,24,6.3,350,32.9,false
MECHANICAL|Bike-015,AVAILABLE,17.6,2018-07-03,2019-05-27,5,HUB,false
MECHANICAL|Bike-016,AVAILABLE,17.7,2020-06-22,2022-05-25,18,DERAILLEUR,false
ELECTRICAL|Bike-017,AVAILABLE,23.3,2020-08-24,2023-09-30,288,24,12.3,350,28.7,false
ELECTRICAL|Bike-018,AVAILABLE,22.0,2023-02-23,2025-04-29,360,24,9.4,600,25.1,false
ELECTRICAL|Bike-019,AVAILABLE,29.5,2020-08-09,2024-08-23,750,52,14.8,500,32.3,false
ELECTRICAL|Bike-020,AVAILABLE,25.5,2018-04-11,2019-09-27,560,36,15.6,500,34.1,false
MECHANICAL|Bike-021,AVAILABLE,15.9,2018-06-15,2019-06-18,1,SINGLE_SPEED,true
MECHANICAL|Bike-022,AVAILABLE,15.3,2020-05-15,2024-07-23,3,DERAILLEUR,true
MECHANICAL|Bike-023,AVAILABLE,19.8,2024-03-20,2025-07-13,1,SINGLE_SPEED,true
ELECTRICAL|Bike-024,AVAILABLE,25.3,2019-12-03,2023-10-10,560,48,8.2,350,30.0,false
ELECTRICAL|Bike-025,AVAILABLE,21.5,2021-10-26,2022-06-20,418,24,9.3,500,27.8,false
ELECTRICAL|Bike-026,AVAILABLE,25.8,2024-12-19,2025-08-04,450,48,13.9,250,31.6,false
ELECTRICAL|Bike-027,AVAILABLE,25.8,2020-10-04,2021-04-24,360,36,15.8,750,26.1,false
ELECTRICAL|Bike-028,AVAILABLE,22.5,2018-04-14,2024-07-15,504,36,11.7,250,26.8,false
ELECTRICAL|Bike-029,AVAILABLE,29.5,2018-04-13,2022-07-05,750,48,5.5,750,30.6,true
MECHANICAL|Bike-030,MAINTENANCE,19.4,2019-06-05,2022-09-11,18,DERAILLEUR,false
ELECTRICAL|Bike-031,AVAILABLE,20.0,2020-01-04,2020-11-21,720,48,16.5,350,32.5,true
MECHANICAL|Bike-032,AVAILABLE,19.5,2024-01-27,2025-01-14,3,HUB,true
MECHANICAL|Bike-033,AVAILABLE,14.4,2024-11-10,2025-03-28,24,DERAILLEUR,false
ELECTRICAL|Bike-034,AVAILABLE,29.6,2024-11-12,2025-03-08,650,36,6.2,350,27.4,true
ELECTRICAL|Bike-035,AVAILABLE,22.9,2019-12-19,2022-12-26,560,36,11.7,600,25.3,false
ELECTRICAL|Bike-036,AVAILABLE,19.4,2025-06-19,2025-07-08,700,36,12.8,600,33.5,false
MECHANICAL|Bike-037,AVAILABLE,15.0,2023-02-27,2025-06-15,5,HUB,true
ELECTRICAL|Bike-038,AVAILABLE,19.2,2025-01-01,2025-02-23,504,36,9.1,350,26.7,true
MECHANICAL|Bike-039,AVAILABLE,14.6,2020-04-27,2021-01-15,1,SINGLE_SPEED,true
ELECTRICAL|Bike-040,AVAILABLE,24.4,2021-01-15,2022-06-04,720,36,16.2,350,34.3,false
MECHANICAL|Bike-041,AVAILABLE,13.7,2024-02-14,2024-05-29,1,SINGLE_SPEED,true
MECHANICAL|Bike-042,LOST,14.5,2022-05-20,2025-05-22,5,DERAILLEUR,false
ELECTRICAL|Bike-043,AVAILABLE,29.2,2018-01-21,2023-08-05,400,48,7.2,500,24.7,false
ELECTRICAL|Bike-044,AVAILABLE,19.1,2025-01-22,2025-06-10,400,24,12.1,750,33.8,true
ELECTRICAL|Bike-045,AVAILABLE,26.2,2023-06-30,2024-09-13,418,48,11.8,250,29.2,false
MECHANICAL|Bike-046,AVAILABLE,16.6,2025-01-13,2025-08-30,24,HUB,true
MECHANICAL|Bike-047,AVAILABLE,18.6,2019-07-06,2021-06-06,1,SINGLE_SPEED,false
MECHANICAL|Bike-048,AVAILABLE,18.8,2020-12-09,2023-06-11,1,SINGLE_SPEED,true
ELECTRICAL|Bike-049,AVAILABLE,24.1,2024-04-26,2024-05-14,560,36,8.9,600,25.2,true
MECHANICAL|Bike-050,AVAILABLE,19.1,2023-01-10,2025-01-05,8,DERAILLEUR,true
ELECTRICAL|Bike-051,AVAILABLE,19.9,2023-09-10,2024-08-12,630,48,12.9,350,30.9,false
ELECTRICAL|Bike-052,AVAILABLE,28.4,2019-11-22,2020-03-25,750,48,5.5,350,26.4,false
ELECTRICAL|Bike-053,AVAILABLE,25.8,2020-05-07,2023-08-06,418,48,15.3,500,28.3,false
MECHANICAL|Bike-054,AVAILABLE,16.9,2018-03-06,2025-02-02,1,FIXED_GEAR,false
ELECTRICAL|Bike-055,AVAILABLE,22.0,2022-06-14,2022-11-04,630,36,9.9,500,32.4,false
MECHANICAL|Bike-056,AVAILABLE,19.4,2020-03-05,2020-06-12,1,SINGLE_SPEED,false
ELECTRICAL|Bike-057,AVAILABLE,26.2,2023-08-12,2024-06-14,360,24,12.1,250,31.5,true
MECHANICAL|Bike-058,AVAILABLE,18.1,2020-12-03,2023-07-01,9,DERAILLEUR,true
MECHANICAL|Bike-059,AVAILABLE,12.3,2024-06-16,2025-05-06,7,DERAILLEUR,false
MECHANICAL|Bike-060,AVAILABLE,19.3,2019-03-20,2022-12-06,11,DERAILLEUR,false
ELECTRICAL|Bike-061,AVAILABLE,28.8,2025-02-08,2025-05-06,450,48,18.0,600,34.5,false
MECHANICAL|Bike-062,AVAILABLE,14.9,2024-10-27,2024-11-09,1,SINGLE_SPEED,true
MECHANICAL|Bike-063,AVAILABLE,19.7,2022-04-06,2024-12-03,1,FIXED_GEAR,true
MECHANICAL|Bike-064,AVAILABLE,18.3,2023-09-20,2024-08-30,1,SINGLE_SPEED,false
MECHANICAL|Bike-065,AVAILABLE,18.6,2023-09-17,2024-06-03,1,SINGLE_SPEED,true
MECHANICAL|Bike-066,AVAILABLE,16.9,2019-11-01,2023-09-04,5,HUB,false
MECHANICAL|Bike-067,AVAILABLE,17.3,2019-11-13,2021-08-23,1,SINGLE_SPEED,false
ELECTRICAL|Bike-068,MAINTENANCE,23.4,2020-03-13,2020-06-25,418,48,17.4,750,31.1,false
MECHANICAL|Bike-069,AVAILABLE,15.0,2021-07-22,2023-12-14,1,FIXED_GEAR,false
ELECTRICAL|Bike-070,AVAILABLE,21.2,2024-12-19,2025-05-21,560,36,10.1,750,24.8,false
MECHANICAL|Bike-071,AVAILABLE,14.9,2024-08-19,2025-02-04,3,DERAILLEUR,false
ELECTRICAL|Bike-072,AVAILABLE,20.7,2018-12-15,2024-09-28,418,48,8.0,250,28.3,false
MECHANICAL|Bike-073,AVAILABLE,17.3,2020-01-01,2022-10-18,1,SINGLE_SPEED,false
ELECTRICAL|Bike-074,AVAILABLE,20.6,2025-01-18,2025-02-02,360,24,6.5,250,29.4,false
MECHANICAL|Bike-075,AVAILABLE,17.3,2022-07-01,2025-07-03,8,DERAILLEUR,true
